Capacity, Server threads, Client threads, Time taken in seconds,Throughput in MOPs
1048576,1,1,0.116299376,9.01617907219038
1048576,1,2,0.114232982,9.1792753865079
1048576,1,3,0.112034631,9.35939174022004
1048576,1,4,0.111595748,9.39620029250577
1048576,2,1,0.46641501,2.2481609243235976
1048576,2,2,0.328155338,3.1953647513117702
1048576,2,3,0.295989879,3.5426076173368073
1048576,2,4,0.261923901,4.003361266370265
1048576,3,1,0.603481145,1.737545586449101
1048576,3,2,0.372110536,2.8179153734039932
1048576,3,3,0.300077543,3.494350125360764
1048576,3,4,0.273127006,3.8391516655808107
1048576,4,1,0.676204365,1.5506791352936624
1048576,4,2,0.406264857,2.581015763320134
1048576,4,3,0.310430926,3.37780778967879
1048576,4,4,0.26232653,3.997216751199354
