Capacity, Server threads, Client threads, Time taken in seconds,Throughput in MOPs
4194304,1,1,0.367441568,11.414887060355676
4194304,1,2,0.374877639,11.188461416873148
4194304,1,3,0.417597711,10.043886471398785
4194304,1,4,0.367767734,11.40476342059959
4194304,1,5,0.39025331,10.747644907867661
4194304,1,6,0.416252389,10.076348174424531
4194304,1,7,0.425851726,9.849212164517564
4194304,1,8,0.359956166,11.652263236963135
4194304,1,9,0.37115364,11.300721717292062
4194304,1,10,0.384734867,10.901803708890258
4194304,1,11,0.398955336,10.51321694817487
4194304,1,12,0.414106982,10.128551756705226
4194304,1,13,0.422075342,9.937334837248086
4194304,1,14,0.424451211,9.881710527149373
4194304,1,15,0.350881061,11.953634624924941
4194304,1,16,0.36382987,11.52820135411092
4194304,1,17,0.366935932,11.430616721395385
4194304,1,18,0.373336185,11.234657042418752
4194304,1,19,0.378289201,11.087559435776756
4194304,1,20,0.384642946,10.904408994413224
4194304,1,21,0.394471629,10.632713968892297
4194304,1,22,0.397813469,10.543393642611935
4194304,1,23,0.404397259,10.371741911336743
4194304,1,24,0.409109869,10.252267954943907
4194304,1,25,0.423227273,9.910287610411157
4194304,1,26,0.425051845,9.86774683921205
4194304,1,27,0.422593309,9.925154778065831
4194304,1,28,0.422589908,9.925234655627413
4194304,1,29,0.344308388,12.181823464608708
4194304,1,30,0.353590177,11.86204898446599
4194304,1,31,0.354713898,11.824470435607232
4194304,1,32,0.355034944,11.813777969979203
4194304,1,33,0.361193416,11.612348991433445
4194304,1,34,0.363734682,11.531218241102454
4194304,1,35,0.380010426,11.037339275528192
4194304,1,36,0.374036021,11.213636560421008
4194304,1,37,0.374315556,11.205262332191186
4194304,1,38,0.378566882,11.07942664672923
4194304,1,39,0.382515289,10.965062366435241
4194304,1,40,0.385421827,10.882372782691418
4194304,1,41,0.38790382,10.812742189545851
4194304,1,42,0.390666762,10.73627041759954
4194304,1,43,0.396952337,10.566266045185168
4194304,1,44,0.401105018,10.456872419382199
4194304,1,45,0.402746712,10.414247652504734
4194304,1,46,0.405902047,10.333291076011745
4194304,1,47,0.407629411,10.2895028837848
4194304,1,48,0.412878094,10.15869832028434
4194304,1,49,0.425785872,9.850735488940789
4194304,1,50,0.420696085,9.969914504909166
4194304,1,51,0.425327339,9.861355279586201
4194304,1,52,0.423752563,9.898002670015709
4194304,1,53,0.426362929,9.837403101243822
4194304,1,54,0.424111493,9.889625886653347
4194304,1,55,0.423886715,9.894870142368108
4194304,1,56,0.422222271,9.93387674711266
4194304,2,1,1.767717497,2.372723021137806
4194304,2,2,1.198407233,3.4998987693860157
4194304,2,3,1.046524344,4.00784178987049
4194304,2,4,0.916518802,4.576342559309547
4194304,2,6,0.8869633,4.728836018356114
4194304,3,1,2.248215502,1.8656147492394617
4194304,3,2,1.356101342,3.092913390834178
4194304,3,3,1.028480096,4.078157677832202
4194304,3,4,0.929691002,4.511503274719228
4194304,3,5,0.789076995,5.315455939759086
4194304,3,6,0.74376157,5.639312609281494
4194304,3,10,0.594610217,7.053871393535102
4194304,4,1,2.6074571840000003,1.6085802005637073
4194304,4,2,1.517678478,2.763631467929401
4194304,4,3,1.167921841,3.5912540144028355
4194304,4,4,0.928156108,4.5189639585930514
4194304,4,5,0.870880035,4.816167361099281
4194304,4,8,0.641970599,6.533483007685217
4194304,4,10,0.601725662,6.970458906570616
4194304,4,11,0.570053849,7.357732970942539
4194304,4,13,0.558225701,7.513634704540413
4194304,5,1,2.774245232,1.511872112681349
4194304,5,2,1.587406073,2.6422375920946854
4194304,5,3,1.195425116,3.508629644686167
4194304,5,4,0.905816565,4.63041211881569
4194304,5,5,0.776024114,5.404862973111167
4194304,5,6,0.778743161,5.385991441149876
4194304,5,7,0.723005182,5.801208766440073
4194304,5,8,0.622051851,6.742691936785186
4194304,5,9,0.595105697,7.047998399517926
4194304,5,11,0.543186503,7.721664615808762
4194304,5,14,0.514099565,8.158544152823783
4194304,5,24,0.372753792,11.252210145188812
4194304,5,27,0.371171923,11.300165072022432
4194304,6,1,3.026700719,1.3857676689572953
4194304,6,2,1.710868636,2.451564025281483
4194304,6,3,1.1835823109999999,3.543736638355353
4194304,6,4,0.926669598,4.526213020317518
4194304,6,5,0.811241648,5.170227650836783
4194304,6,6,0.72723087,5.767499941249744
4194304,6,7,0.739393571,5.672627088611783
4194304,6,8,0.62807208,6.678061537140768
4194304,6,9,0.59959804,6.995192979616811
4194304,6,10,0.571539315,7.338609768253651
4194304,6,11,0.532873006,7.871113666433312
4194304,6,12,0.524926632,7.990267104603678
4194304,6,15,0.445986233,9.404559355535085
4194304,6,18,0.401961688,10.434586492233061
4194304,6,20,0.388239474,10.803393989762103
4194304,6,21,0.37488373,11.188279630060231
4194304,7,1,3.106120272,1.3503353485083593
4194304,7,2,1.708223261,2.455360546691443
4194304,7,3,1.296758438,3.2344528302965245
4194304,7,4,0.957701567,4.379552195094195
4194304,7,5,0.805917942,5.204380969098712
4194304,7,6,0.724866845,5.786309622148603
4194304,7,7,0.661330615,6.342219617339204
4194304,7,8,0.622508281,6.73774812001256
4194304,7,9,0.589503681,7.114975080198015
4194304,7,10,0.561864677,7.4649718547799
4194304,7,11,0.531690235,7.888623344756369
4194304,7,12,0.516743576,8.116799501344937
4194304,7,13,0.50139808,8.365217513397738
4194304,7,14,0.479660765,8.744313285661377
4194304,7,15,0.43625436,9.6143543413526
4194304,7,17,0.401824291,10.438154422077982
4194304,7,18,0.398506682,10.52505312821831
4194304,7,21,0.352429097,11.901128583602732
4194304,7,22,0.360230857,11.643377901965794
4194304,7,23,0.351724497,11.924969786793097
4194304,7,25,0.379813504,11.043061807512773
4194304,7,27,0.368844555,11.371467853171914
4194304,7,32,0.312510211,13.421334255218943
4194304,8,1,3.162543896,1.3262437259147535
4194304,8,2,1.785023329,2.349719430473617
4194304,8,3,1.280722356,3.2749518116477696
4194304,8,4,0.968421628,4.331072209386881
4194304,8,5,0.820461058,5.112130501628268
4194304,8,6,0.731745234,5.731918439799499
4194304,8,7,0.669221842,6.267434409291141
4194304,8,8,0.571936703,7.333510820339852
4194304,8,9,0.591658916,7.089057371696906
4194304,8,10,0.556856406,7.5321105312021865
4194304,8,11,0.532123568,7.882199271429375
4194304,8,12,0.493419344,8.500485542374683
4194304,8,13,0.474813412,8.833583664650147
4194304,8,14,0.461680726,9.084858352956239
4194304,8,15,0.425720298,9.852252804727671
4194304,8,16,0.412219215,10.174935683189828
4194304,8,17,0.412966043,10.156534831605997
4194304,8,19,0.394064822,10.64369049414921
4194304,8,20,0.377868187,11.099912996909685
4194304,8,21,0.366509848,11.443905321747316
4194304,8,24,0.340651082,12.312610238531402
4194304,8,36,0.287559729,14.585853222862093
4194304,9,1,3.311944527,1.2664173466091388
4194304,9,2,1.800032008,2.330127454044695
4194304,9,3,1.327405146,3.1597768116532525
4194304,9,4,0.970325897,4.322572460415328
4194304,9,5,0.828080188,5.065094009953538
4194304,9,6,0.748662579,5.602395682180878
4194304,9,8,0.602279901,6.964044446836024
4194304,9,9,0.539869443,7.769107984131638
4194304,9,10,0.573830821,7.309304147676655
4194304,9,12,0.525009682,7.989003143755356
4194304,9,13,0.493818879,8.493608038019138
4194304,9,14,0.485537369,8.638478246563139
4194304,9,15,0.440742835,9.51644284812934
4194304,9,16,0.425546904,9.856267218900975
4194304,9,17,0.404818417,10.360951537439563
4194304,9,19,0.399236509,10.505812733674615
4194304,9,21,0.367046553,11.427171746249854
4194304,9,23,0.346581746,12.101918373969989
4194304,9,25,0.330393106,12.694889584045983
4194304,9,30,0.293454014,14.292883381721268
4194304,9,38,0.287852826,14.571001640956618
4194304,9,45,0.275778049,15.208984236450233
4194304,9,49,0.265759423,15.782334084914083
4194304,10,1,3.365956001,1.246095908191879
4194304,10,2,1.8738168160000002,2.2383746181515747
4194304,10,3,1.368962507,3.063856006686091
4194304,10,4,1.044728405,4.014731465064358
4194304,10,5,0.837746239,5.006652139682121
4194304,10,6,0.76246042,5.501012104995561
4194304,10,7,0.694673238,6.037808527179796
4194304,10,8,0.608350372,6.8945531934350495
4194304,10,9,0.541572563,7.7446759428985334
4194304,10,10,0.51697997,8.113088017704053
4194304,10,11,0.550547423,7.618424543965215
4194304,10,12,0.527650078,7.949025641952051
4194304,10,13,0.492223003,8.521145851446525
4194304,10,14,0.474677795,8.836107448421933
4194304,10,15,0.426276239,9.839403692402382
4194304,10,17,0.387774492,10.81634838425628
4194304,10,18,0.377256471,11.117911347901043
4194304,10,19,0.358191894,11.709656388818223
4194304,10,20,0.348116392,12.048567939886038
4194304,10,21,0.352467398,11.899835343069093
4194304,10,22,0.345647891,12.134614760313987
4194304,10,23,0.335946933,12.485019471810448
4194304,10,24,0.333640545,12.571325826122242
4194304,10,25,0.323407293,12.969107657074387
4194304,10,26,0.317189892,13.22332175705019
4194304,10,27,0.319108383,13.143822674191547
4194304,10,30,0.271701484,15.437177369263098
4194304,10,40,0.258582464,16.220372932945676
4194304,10,42,0.265316598,15.80867549040411
4194304,10,53,0.237470819,17.662397500721973
4194304,11,1,3.446830978,1.2168580434523413
4194304,11,2,1.89316331,2.215500362723594
4194304,11,3,1.359926804,3.084213052984284
4194304,11,4,1.058128562,3.9638888417039055
4194304,11,5,0.849174985,4.939269378030489
4194304,11,6,0.77871419,5.386191819619982
4194304,11,7,0.720391101,5.822259595069595
4194304,11,8,0.611024293,6.864381740710921
4194304,11,9,0.572285711,7.329038484415348
4194304,11,10,0.525525483,7.981161971549913
4194304,11,12,0.528853919,7.930931112188658
4194304,11,13,0.504391956,8.315564810474497
4194304,11,14,0.485832633,8.633228225325901
4194304,11,15,0.42502553,9.868357790177923
4194304,11,16,0.404154014,10.3779842701253
4194304,11,17,0.391386943,10.716514883839649
4194304,11,18,0.37819849,11.090218789609658
4194304,11,19,0.361964357,11.587616070164609
4194304,11,20,0.345598514,12.136348479785418
4194304,11,22,0.326718102,12.837684763484576
4194304,11,23,0.34182281,12.270404072800174
4194304,11,24,0.334416512,12.542155813167504
4194304,11,25,0.326429454,12.849036594596024
4194304,11,26,0.332092921,12.62991089171696
4194304,11,27,0.331417418,12.655653481676692
4194304,11,28,0.324334127,12.93204646330665
4194304,11,29,0.282766364,14.833107943489347
4194304,11,34,0.274895031,15.257838545651994
4194304,11,36,0.265036787,15.825365404840952
4194304,11,37,0.265861592,15.776269029488095
4194304,11,39,0.26000368,16.131710135795
4194304,11,45,0.250516223,16.742644247833805
4194304,11,49,0.232177243,18.06509520831893
4194304,11,51,0.229219932,18.29816440221263
4194304,12,1,3.52631692,1.1894291112098907
4194304,12,2,1.893718462,2.214850878926479
4194304,12,3,1.395098425,3.006457411777237
4194304,12,4,1.056440708,3.970221866914276
4194304,12,5,0.867024241,4.837585619477507
4194304,12,6,0.765909748,5.476237913086334
4194304,12,7,0.726292994,5.774947623961246
4194304,12,8,0.60834206,6.894647396236255
4194304,12,9,0.557488674,7.52356809315197
4194304,12,10,0.523194594,8.016718918926749
4194304,12,11,0.48731904,8.606895392390168
4194304,12,12,0.474992335,8.8302561766602
4194304,12,13,0.508519163,8.248074615823278
4194304,12,14,0.474906104,8.831859529015444
4194304,12,15,0.423478264,9.904413889823635
4194304,12,18,0.372633714,11.255836072846593
4194304,12,20,0.346158332,12.116721200285886
4194304,12,21,0.34228287,12.25391150892243
4194304,12,22,0.310244093,13.5193677966336
4194304,12,23,0.318952448,13.150248653993716
4194304,12,24,0.308386664,13.600795655677251
4194304,12,25,0.337776525,12.41739342306278
4194304,12,26,0.340298367,12.325372105003373
4194304,12,27,0.33333737,12.582759622780967
4194304,12,29,0.286673025,14.630968504971822
4194304,12,30,0.277832037,15.096545543450056
4194304,12,31,0.270985759,15.477949894776573
4194304,12,32,0.275955261,15.19921738328446
4194304,12,35,0.252792582,16.591879266457273
4194304,12,36,0.258052116,16.25370899884425
4194304,12,37,0.269242554,15.578161541284443
4194304,12,38,0.267133798,15.701135653377715
4194304,12,44,0.24183203,17.343872935276604
4194304,13,1,3.604900902,1.1635004994653249
4194304,13,2,1.9805394939999998,2.11775832428818
4194304,13,3,1.435840532,2.921148906527734
4194304,13,4,1.03224503,4.063283307840194
4194304,13,5,0.883974714,4.744823504080457
4194304,13,6,0.784331109,5.3476190755045
4194304,13,7,0.712353225,5.88795537494759
4194304,13,9,0.563037217,7.449425852074714
4194304,13,10,0.538973469,7.7820231258915635
4194304,13,11,0.503194624,8.33535137291133
4194304,13,12,0.481058351,8.718909028979729
4194304,13,13,0.457590218,9.166070066646398
4194304,13,14,0.49088498,8.544372247853254
4194304,13,15,0.426487522,9.834529226859772
4194304,13,16,0.406028477,10.33007347413221
4194304,13,17,0.388080486,10.807819901565471
4194304,13,18,0.376013889,11.154651790003427
4194304,13,19,0.358073943,11.713513596827122
4194304,13,22,0.316466502,13.253548080106123
4194304,13,23,0.308824638,13.58150705579391
4194304,13,24,0.320745115,13.076750989644845
4194304,13,27,0.346486637,12.105240295313322
4194304,13,31,0.273848226,15.31616275651901
4194304,13,33,0.272846582,15.372389748316511
4194304,13,35,0.26864729,15.612679361105783
4194304,13,36,0.260876774,16.077721046949165
4194304,13,37,0.254683854,16.4686686420255
4194304,13,38,0.248429664,16.883265599071134
4194304,13,39,0.244470008,17.156722144828496
4194304,13,41,0.246883816,16.988979139888215
4194304,13,45,0.234903424,17.855440029686413
4194304,13,47,0.229964329,18.238933047742375
4194304,13,48,0.221601438,18.92724179885511
4194304,13,53,0.22434064,18.696139941474712
4194304,13,54,0.218305715,19.212983040778386
4194304,14,1,3.633853222,1.154230439085137
4194304,14,2,1.991795158,2.105790840565945
4194304,14,3,1.438541563,2.9156641058413406
4194304,14,4,1.043627041,4.018968304980898
4194304,14,5,0.892732727,4.698275164723518
4194304,14,6,0.790787805,5.303956350212052
4194304,14,7,0.709395964,5.9125005114914915
4194304,14,8,0.615290153,6.816790386697444
4194304,14,9,0.568260865,7.380948184774259
4194304,14,10,0.536962232,7.811171345101231
4194304,14,11,0.504569945,8.312631462819294
4194304,14,13,0.464437032,9.030942218233795
4194304,14,14,0.440918211,9.512657666117583
4194304,14,16,0.409599429,10.2400142750199
4194304,14,17,0.387633983,10.820269078420814
4194304,14,18,0.370712973,11.314154900103807
4194304,14,19,0.356572729,11.762828895420098
4194304,14,20,0.344768236,12.165575485324
4194304,14,22,0.323497358,12.965496923780131
4194304,14,23,0.311766984,13.45332961876425
4194304,14,24,0.307777312,13.627723150691496
4194304,14,25,0.330005138,12.709814233255969
4194304,14,27,0.321361726,13.051660047407138
4194304,14,28,0.321648379,13.040028409407904
4194304,14,29,0.291873075,14.370301200273444
4194304,14,31,0.277157011,15.133313730245128
4194304,14,32,0.279478153,15.007627447716818
4194304,14,34,0.265667895,15.787771420404413
4194304,14,37,0.250571019,16.738982890914453
4194304,14,40,0.239359129,17.52305841654362
4194304,14,41,0.226915336,18.48400409569497
4194304,14,43,0.233664817,17.950087881651434
4194304,14,44,0.236361022,17.745328584676706
4194304,14,45,0.229375039,18.28579089636689
4194304,14,49,0.217081998,19.32128890761361
4194304,14,50,0.215055129,19.503389756400555
4194304,14,51,0.215550748,19.458545325948023
4194304,14,52,0.222056204,18.88847924284971
4194304,15,1,3.825165743,1.0965025522555507
4194304,15,2,2.0781142360000002,2.0183221534891596
4194304,15,3,1.5099167900000001,2.7778378436337543
4194304,15,4,1.12529473,3.7272937375259905
4194304,15,5,0.93107896,4.504777983598728
4194304,15,6,0.822060399,5.102184711855947
4194304,15,7,0.7391525,5.674477188401582
4194304,15,8,0.658431924,6.3701407041739975
4194304,15,9,0.614892465,6.821199215703512
4194304,15,10,0.571249973,7.34232682405746
4194304,15,11,0.527820958,7.946452175550029
4194304,15,13,0.479710611,8.743404677367039
4194304,15,14,0.453448896,9.249783243490354
4194304,15,15,0.451434963,9.291048199117887
4194304,15,16,0.459107209,9.135783359045446
4194304,15,17,0.436486908,9.609232082626406
4194304,15,18,0.417953062,10.035346983532808
4194304,15,19,0.403406951,10.397203096284773
4194304,15,20,0.389048098,10.780939481678175
4194304,15,21,0.371371128,11.294103617015699
4194304,15,22,0.352255729,11.906985904550044
4194304,15,23,0.34569085,12.133106791805453
4194304,15,24,0.329611603,12.724988931897522
4194304,15,26,0.314645922,13.330234739225382
4194304,15,27,0.314387731,13.341182197723866
4194304,15,28,0.302638325,13.859130366254835
4194304,15,29,0.274792345,15.263540183406494
4194304,15,30,0.305097936,13.747402080097979
4194304,15,31,0.301740601,13.900363378675712
4194304,15,32,0.299338122,14.011927288031828
4194304,15,34,0.285831322,14.674053111646037
4194304,15,39,0.259891581,16.138668224116117
4194304,15,41,0.259788451,16.145074901732258
4194304,15,42,0.254528844,16.47869818636351
4194304,15,44,0.241793321,17.346649537933267
4194304,15,45,0.257747161,16.272939665861152
4194304,15,47,0.258808186,16.20622618173291
4194304,15,48,0.254078215,16.5079245381191
4194304,15,50,0.239109365,17.54136229670469
4194304,15,52,0.23685654,17.708204299530845
4194304,15,53,0.235678101,17.79674896480942
4194304,15,56,0.218174214,19.224563357427748
4194304,16,1,3.907731348,1.07333478852037
4194304,16,2,2.133124068,1.966272877851191
4194304,16,3,1.5276437010000001,2.7456035705540476
4194304,16,4,1.129065472,3.7148456878858482
4194304,16,5,0.949207223,4.418744293520826
4194304,16,6,0.834399473,5.026733759694022
4194304,16,8,0.669645816,6.263466297831688
4194304,16,9,0.617260468,6.795030975481164
4194304,16,10,0.576361689,7.27720818376601
4194304,16,11,0.538820972,7.784225592466359
4194304,16,12,0.508835561,8.242945897407512
4194304,16,13,0.483403831,8.676604799187038
4194304,16,14,0.459268286,9.13257920883307
4194304,16,15,0.459357205,9.130811391104663
